N,t_disc,d_model,nhead,num_layers,dim_f,dropout,max_epochs,best_epoch,best_val,test_mse,test_mae
1000,100,32,1,1,64,0.1,160,131,0.0011859826603904367,0.0009972834400832653,0.023555788099765777
1000,100,32,1,1,128,0.1,160,107,0.0025280007999390363,0.0031170985754579304,0.04130442589521408
1000,100,32,1,1,256,0.1,160,146,0.0015985471196472644,0.0015739112533628941,0.030712525248527526
1000,100,32,1,1,512,0.1,160,122,0.001408653762191534,0.0013777341693639756,0.027576774060726165
1000,100,32,1,2,64,0.1,160,118,0.001378197455778718,0.001436184833291918,0.02944850653409958
1000,100,32,1,2,128,0.1,160,105,0.0014555524662137032,0.0014482752978801727,0.028214276731014253
1000,100,32,1,2,256,0.1,160,80,0.001913734208792448,0.002514510490000248,0.03470542579889298
1000,100,32,1,2,512,0.1,160,87,0.004770665429532528,0.00438489368185401,0.05512568950653076
1000,100,32,1,3,64,0.1,160,117,0.0020923829078674317,0.0024700032640248538,0.03094909220933914
1000,100,32,1,3,128,0.1,160,114,0.0016519993636757136,0.0015992182260379196,0.029222129881381988
1000,100,32,1,3,256,0.1,160,95,0.002301209922879934,0.0022056386433541774,0.037978382110595704
1000,100,32,1,3,512,0.1,160,30,2.3114301919937135,2.236176290512085,1.290159502029419
1000,100,32,1,4,64,0.1,160,124,0.0003941718675196171,0.00047687603859230876,0.01641267240047455
1000,100,32,1,4,128,0.1,160,23,2.0053069496154787,2.793736057281494,1.4219275093078614
1000,100,32,1,4,256,0.1,160,133,0.011690529510378838,0.014718274883925915,0.09284358501434326
1000,100,32,1,4,512,0.1,160,157,0.5822494745254516,0.5435574078559875,0.4860857391357422
1000,100,32,2,1,64,0.1,160,121,0.0008705379441380501,0.000815349742770195,0.02028401881456375
1000,100,32,2,1,128,0.1,160,91,0.0032847521081566813,0.003713515205308795,0.04781355530023575
1000,100,32,2,1,256,0.1,160,126,0.0015880332514643669,0.0015500777866691352,0.02981252461671829
1000,100,32,2,1,512,0.1,160,45,0.0017058125883340836,0.002052951231598854,0.03272587060928345
1000,100,32,2,2,64,0.1,160,79,0.0006051597878104076,0.0008294704975560308,0.01803611695766449
1000,100,32,2,2,128,0.1,160,134,0.0015889499336481094,0.001556314304471016,0.027393101155757903
1000,100,32,2,2,256,0.1,160,87,0.002668058518320322,0.0026424466259777546,0.04147807568311691
1000,100,32,2,2,512,0.1,160,124,0.0013114472385495901,0.001297978814691305,0.03090290427207947
1000,100,32,2,3,64,0.1,160,105,0.000879141790792346,0.001052574934437871,0.023087592124938966
1000,100,32,2,3,128,0.1,160,127,0.0011729403072968125,0.0012189754284918307,0.027265219092369078
