Summary (d_model, nhead, num_layers, dim_f -> best_epoch, best_val, test_mse, test_mae)
d_model= 32, nhead= 1, layers= 1, dim_f=  64 -> best_epoch=131, best_val=0.001186, test_mse=0.000997, test_mae=0.023556
d_model= 32, nhead= 1, layers= 1, dim_f= 128 -> best_epoch=107, best_val=0.002528, test_mse=0.003117, test_mae=0.041304
d_model= 32, nhead= 1, layers= 1, dim_f= 256 -> best_epoch=146, best_val=0.001599, test_mse=0.001574, test_mae=0.030713
d_model= 32, nhead= 1, layers= 1, dim_f= 512 -> best_epoch=122, best_val=0.001409, test_mse=0.001378, test_mae=0.027577
d_model= 32, nhead= 1, layers= 2, dim_f=  64 -> best_epoch=118, best_val=0.001378, test_mse=0.001436, test_mae=0.029449
d_model= 32, nhead= 1, layers= 2, dim_f= 128 -> best_epoch=105, best_val=0.001456, test_mse=0.001448, test_mae=0.028214
d_model= 32, nhead= 1, layers= 2, dim_f= 256 -> best_epoch= 80, best_val=0.001914, test_mse=0.002515, test_mae=0.034705
d_model= 32, nhead= 1, layers= 2, dim_f= 512 -> best_epoch= 87, best_val=0.004771, test_mse=0.004385, test_mae=0.055126
d_model= 32, nhead= 1, layers= 3, dim_f=  64 -> best_epoch=117, best_val=0.002092, test_mse=0.002470, test_mae=0.030949
d_model= 32, nhead= 1, layers= 3, dim_f= 128 -> best_epoch=114, best_val=0.001652, test_mse=0.001599, test_mae=0.029222
d_model= 32, nhead= 1, layers= 3, dim_f= 256 -> best_epoch= 95, best_val=0.002301, test_mse=0.002206, test_mae=0.037978
d_model= 32, nhead= 1, layers= 3, dim_f= 512 -> best_epoch= 30, best_val=2.311430, test_mse=2.236176, test_mae=1.290160
d_model= 32, nhead= 1, layers= 4, dim_f=  64 -> best_epoch=124, best_val=0.000394, test_mse=0.000477, test_mae=0.016413
d_model= 32, nhead= 1, layers= 4, dim_f= 128 -> best_epoch= 23, best_val=2.005307, test_mse=2.793736, test_mae=1.421928
d_model= 32, nhead= 1, layers= 4, dim_f= 256 -> best_epoch=133, best_val=0.011691, test_mse=0.014718, test_mae=0.092844
d_model= 32, nhead= 1, layers= 4, dim_f= 512 -> best_epoch=157, best_val=0.582249, test_mse=0.543557, test_mae=0.486086
d_model= 32, nhead= 2, layers= 1, dim_f=  64 -> best_epoch=121, best_val=0.000871, test_mse=0.000815, test_mae=0.020284
d_model= 32, nhead= 2, layers= 1, dim_f= 128 -> best_epoch= 91, best_val=0.003285, test_mse=0.003714, test_mae=0.047814
d_model= 32, nhead= 2, layers= 1, dim_f= 256 -> best_epoch=126, best_val=0.001588, test_mse=0.001550, test_mae=0.029813
d_model= 32, nhead= 2, layers= 1, dim_f= 512 -> best_epoch= 45, best_val=0.001706, test_mse=0.002053, test_mae=0.032726
d_model= 32, nhead= 2, layers= 2, dim_f=  64 -> best_epoch= 79, best_val=0.000605, test_mse=0.000829, test_mae=0.018036
