d_model,nhead,num_layers,dim_f,flow_hidden,flow_layers,best_val_mse,test_mse,test_mae
64,2,2,64,96,4,2.578346538543701,2.7051143646240234,1.3053098344802856
64,2,2,64,96,5,2.0404135942459107,2.218913688659668,1.0294621753692628
64,2,2,64,96,6,1.8679753494262696,1.9273320102691651,1.0059363484382629
64,2,2,64,96,7,0.008748240023851394,0.009362983927130699,0.07236004203557968
64,2,2,64,96,8,0.006662351619452238,0.006636760011315346,0.060401616394519804
64,2,2,64,96,9,0.006913969423621893,0.007401546202600002,0.06424597740173339
64,2,2,64,96,10,0.00641840860247612,0.005876482240855694,0.056374934315681455
64,2,2,64,96,11,0.011312068030238152,0.008390223383903503,0.06960280120372772
64,2,2,64,96,12,0.006362297646701336,0.006225143168121576,0.05978585436940193
64,2,2,64,96,14,0.007452855240553617,0.008169668316841126,0.07092439591884613
64,2,2,64,96,18,,inf,9.605346730762048e+21
64,2,2,64,128,4,0.0072559061460196975,0.0090195781737566,0.06934991419315338
64,2,2,64,128,5,0.005171609632670879,0.005444518197327853,0.05632875725626946
64,2,2,64,128,6,0.008989371005445718,0.009635825976729392,0.07198457956314087
64,2,2,64,128,7,0.008825923781841993,0.009484853446483612,0.07338177859783172
64,2,2,64,128,8,0.012449494116008281,0.012732233852148056,0.08643976271152497
64,2,2,64,128,9,0.017139724269509316,0.021071259081363678,0.10451568514108658
64,2,2,64,128,10,,7.619445403575491e+18,1008570368.0
64,2,2,64,128,11,,2.4990106866696785e+20,7154722641.92
64,2,2,64,128,12,,4.2555355502514096e+21,40485145477.12
64,2,2,64,128,14,,2.1248457270974763e+21,26643215319.04
64,2,2,64,128,18,,inf,1.4539453504217626e+18
64,2,2,64,160,4,0.0065406267158687114,0.007070083525031805,0.06110495820641518
64,2,2,64,160,5,0.008896638527512551,0.009095889292657375,0.07111826255917549
64,2,2,64,160,6,0.01023985093459487,0.00910801948979497,0.07144665583968163
64,2,2,64,160,7,,105705407447.04,212979.4225
64,2,2,64,160,8,,1044520870871.04,689308.99
64,2,2,64,160,9,,4258638080245.76,1420539.805
64,2,2,64,160,10,,18767113523036.16,2996672.2
64,2,2,64,160,11,,65249374854184.96,5603301.38
64,2,2,64,160,12,,234863095195893.75,10262400.36
64,2,2,64,160,14,,3.8722492205119834e+17,404986785.28
64,2,2,64,160,18,,8.220314679245489e+21,18780208435.2
64,2,2,64,192,4,0.007433045208454132,0.00977131012827158,0.07245227724313735
64,2,2,64,192,5,0.008581920191645623,0.007512768432497978,0.06543487548828125
64,2,2,64,192,6,0.010012720059603453,0.010584986843168736,0.0786886404454708
64,2,2,64,192,7,,1683526671.36,25546.978984375
64,2,2,64,192,8,,110454392094.72,159305.26875
64,2,2,64,192,9,0.039200273007154465,0.01712024264037609,0.09708329409360886
64,2,2,64,192,10,0.009164767153561116,0.008244295306503772,0.07102489113807678
64,2,2,64,192,11,0.036571841835975644,0.02965067407116294,0.10934169173240661
64,2,2,64,192,12,,60670485054095.36,3968144.88
64,2,2,64,192,14,,1.2397157705284846e+18,633521223.68
64,2,2,64,192,18,,5.989712903175652e+23,143563765841.92
64,2,2,64,224,4,0.013700179643929005,0.010863378904759883,0.07826298505067825
64,2,2,64,224,5,,1237.9144482421875,18.210928115844727
64,2,2,64,224,6,,110752.249375,167.62024658203126
64,2,2,64,224,7,,8661045.6,1734.022373046875
64,2,2,64,224,8,,175849754.88,7351.464375
64,2,2,64,224,9,,5862859939.84,42368.59375
64,2,2,64,224,10,,528161353236.48,430958.74
64,2,2,64,224,11,,7366177865072.64,1653531.97
64,2,2,64,224,12,,6.069291650890963e+17,292076656.64
64,2,2,64,224,14,,1.0728062446301133e+21,18966651125.76
64,2,2,64,224,18,,5.128932826146267e+28,129373890727116.8
64,2,2,64,256,4,1.9885895156860351,2.1586127281188965,1.0323183131217957
64,2,2,64,256,5,1.7902867031097411,2.4174439668655396,1.0493423104286195
64,2,2,64,256,6,8.49929599761963,9.152517490386963,1.7239892530441283
64,2,2,64,256,7,2.3794447326660157,2.5184405517578123,1.1013850116729735
64,2,2,64,256,8,0.008548836261034011,0.007515911757946014,0.0660897022485733
64,2,2,64,256,9,,80178848.48,2516.4947265625
64,2,2,64,256,10,,2593929931721277.5,14202795.04
64,2,2,64,256,11,,1.1400752471165894e+17,199495456.0
64,2,2,64,256,12,,9.084738120401813e+16,179037904.64
64,2,2,64,256,14,,4.259045323407622e+16,112235153.92
64,2,2,64,256,18,,1.8878162529732577e+18,501606469.12
